creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
553	:think	think	think	think	think	
554	:think	think	think	think	think	
555	:think	think	think	think	think	
556	:think	think	think	think	think	
557	:think	think	think	think	think	
558	:think	think	think	think	think	
559	:think	think	think	think	think	
560	:think	think	think	think	think	
561	:think	think	think	think	think	
562	:think	think	think	think	think	
563	:think	think	think	think	think	
564	:think	think	think	think	think	
565	:think	think	think	think	think	
566	:think	think	think	think	think	
567	:think	think	think	think	think	
568	:think	think	think	think	think	
569	:think	think	think	think	think	
570	:think	think	think	think	think	
571	:think	think	think	think	think	
572	:think	think	think	think	think	
573	:think	think	think	think	think	
574	:think	think	think	think	think	
575	:think	think	think	think	think	
576	:think	think	think	think	think	
577	:think	think	think	think	think	
578	:think	think	think	think	think	
579	:think	think	think	think	think	
580	:think	think	think	think	think	
581	:think	think	think	think	think	
582	:think	think	think	think	think	
583	:think	think	think	think	think	
584	:think	think	think	think	think	
585	:think	think	think	think	think	
586	:think	think	think	think	think	
587	:think	think	think	think	think	
588	:think	think	think	think	think	
589	:think	think	think	think	think	
590	:think	think	think	think	think	
591	:think	think	think	think	think	
592	:think	think	think	think	think	
593	:think	think	think	think	think	
594	:think	think	think	think	think	
595	:think	think	think	think	think	
596	:think	think	think	think	think	
597	:think	think	think	think	think	
598	:think	think	think	think	think	
599	:think	think	think	think	think	
600	:think	think	think	think	think	
601	:think	think	think	think	think	
602	:think	think	think	think	think	
603	:think	think	think	think	think	
604	:think	think	think	think	think	
605	:think	think	think	think	think	
606	:think	think	think	think	think	
607	:think	think	think	think	think	
608	:think	think	think	think	think	
609	:think	think	think	think	think	
610	:think	think	think	think	think	
611	:think	think	think	think	think	
612	:think	think	think	think	think	
613	:think	think	think	think	think	
614	:think	think	think	think	think	
615	:think	think	think	think	think	
616	:think	think	think	think	think	
617	:think	think	think	think	think	
618	:think	think	think	think	think	
619	:think	think	think	think	think	
620	:think	think	think	think	think	
621	:think	think	think	think	think	
622	:think	think	think	think	think	
623	:think	think	think	think	think	
624	:think	think	think	think	think	
625	:think	think	think	think	think	
626	:think	think	think	think	think	
627	:think	think	think	think	think	
628	:think	think	think	think	think	
629	:think	think	think	think	think	
630	:think	think	think	think	think	
631	:think	think	think	think	think	
632	:think	think	think	think	think	
633	:think	think	think	think	think	
634	:think	think	think	think	think	
635	:think	think	think	think	think	
636	:think	think	think	think	think	
637	:think	think	think	think	think	
638	:think	think	think	think	think	
639	:think	think	think	think	think	
640	:think	think	think	think	think	
641	:think	think	think	think	think	
642	:think	think	think	think	think	
643	:think	think	think	think	think	
644	:think	think	think	think	think	
645	:think	think	think	think	think	
646	:think	think	think	think	think	
647	:think	think	think	think	think	
648	:think	think	think	think	think	
649	:think	think	think	think	think	
650	:think	think	think	think	think	
651	:think	think	think	think	think	
652	:think	think	think	think	think	
653	:think	think	think	think	think	
654	:think	think	think	think	think	
655	:think	think	think	think	think	
656	:think	think	think	think	think	
657	:think	think	think	think	think	
658	:think	think	think	think	think	
659	:think	think	think	think	think	
660	:think	think	think	think	think	
661	:think	think	think	think	think	
662	:think	think	think	think	think	
663	:think	think	think	think	think	
664	:think	think	think	think	think	
665	:think	think	think	think	think	
666	:think	think	think	think	think	
667	:think	think	think	think	think	
668	:think	think	think	think	think	
669	:think	think	think	think	think	
670	:think	think	think	think	think	
671	:think	think	think	think	think	
672	:think	think	think	think	think	
673	:think	think	think	think	think	
674	:think	think	think	think	think	
675	:think	think	think	think	think	
676	:think	think	think	think	think	
677	:think	think	think	think	think	
678	:think	think	think	think	think	
679	:think	think	think	think	think	
680	:think	think	think	think	think	
681	:think	think	think	think	think	
682	:think	think	think	think	think	
683	:think	think	think	think	think	
684	:think	think	think	think	think	
685	:think	think	think	think	think	
686	:think	think	think	think	think	
687	:think	think	think	think	think	
688	:think	think	think	think	think	
689	:think	think	think	think	think	
690	:think	think	think	think	think	
691	:think	think	think	think	think	
692	:think	think	think	think	think	
693	:think	think	think	think	think	
694	:think	think	think	think	think	
695	:think	think	think	think	think	
696	:think	think	think	think	think	
697	:think	think	think	think	think	
698	:think	think	think	think	think	
699	:think	think	think	think	think	
700	:think	think	think	think	think	
701	:think	think	think	think	think	
702	:think	think	think	think	think	
703	:think	think	think	think	think	
704	:think	think	think	think	think	
705	:think	think	think	think	think	
706	:think	think	think	think	think	
707	:think	think	think	think	think	
708	:think	think	think	think	think	
709	:think	think	think	think	think	
710	:think	think	think	think	think	
711	:think	think	think	think	think	
712	:think	think	think	think	think	
713	:think	think	think	think	think	
714	:think	think	think	think	think	
715	:think	think	think	think	think	
716	:think	think	think	think	think	
717	:think	think	think	think	think	
718	:think	think	think	think	think	
719	:think	think	think	think	think	
720	:think	think	think	think	think	
721	:think	think	think	think	think	
722	:think	think	think	think	think	
723	:think	think	think	think	think	
724	:think	think	think	think	think	
725	:think	think	think	think	think	
726	:think	think	think	think	think	
727	:think	think	think	think	think	
728	:think	think	think	think	think	
729	:think	think	think	think	think	
730	:think	think	think	think	think	
731	:think	think	think	think	think	
732	:think	think	think	think	think	
733	:think	think	think	think	think	
734	:think	think	think	think	think	
735	:think	think	think	think	think	
736	:think	think	think	think	think	
737	:think	think	think	think	think	
738	:think	think	think	think	think	
739	:think	think	think	think	think	
740	:think	think	think	think	think	
741	:think	think	think	think	think	
742	:think	think	think	think	think	
743	:think	think	think	think	think	
744	:think	think	think	think	think	
745	:think	think	think	think	think	
746	:think	think	think	think	think	
747	:think	think	think	think	think	
